sku,product_name,brand,category1,category2,category3
P000001263,High Calcium Low Fat Milk Beverage (19-50 years) 1L,Anlene,Dairy / Soy products / Eggs,Milk / Milk drinks,UHT milk/milk drinks
P000002692,Banana Flavored Milk Drink 200mL,Binggrae,Dairy / Soy products / Eggs,Milk / Milk drinks,UHT milk/milk drinks
P000003563,PureFarm - High Calcium Less Fat Milk Beverage 225mL x 6,Dutch Lady,Dairy / Soy products / Eggs,Milk / Milk drinks,UHT milk/milk drinks
P000003227,Milky Original Milk Beverage 110mL x 4,Dutch Lady,Dairy / Soy products / Eggs,Milk / Milk drinks,UHT milk/milk drinks
P000003253,Milky Chocolate Milk Beverage 110mL x 4,Dutch Lady,Dairy / Soy products / Eggs,Milk / Milk drinks,UHT milk/milk drinks
P000003559,Hi-Calcium Low Fat Milk Beverage 1L,Daisy,Dairy / Soy products / Eggs,Milk / Milk drinks,UHT milk/milk drinks
P000003054,UHT Pure Milk 1L,Black & White,Dairy / Soy products / Eggs,Milk / Milk drinks,UHT milk/milk drinks
P000002694,Melon Flavored Milk Drink 200mL x 6,Binggrae,Dairy / Soy products / Eggs,Milk / Milk drinks,UHT milk/milk drinks
P000002693,Strawberry Flavored Milk Drink 200mL,Binggrae,Dairy / Soy products / Eggs,Milk / Milk drinks,UHT milk/milk drinks
P000000899,Hi-Calcium Low Fat Milk Drink 236mL,Trappist Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000001927,Skimmed Milk 946mL,Meiji (CP-Meiji),Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000003564,Fresh Milk Beverage 236mL,Meiji (CP-Meiji),Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000001926,4.3 Deluxe Milk 946mL,Meiji (CP-Meiji),Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000001616,Slimilk - Low Fat Hi-Ca Milk Drink (Plastic Bottle) 1.5L,Kowloon Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000000895,Slimilk - Low Fat Hi-Ca Milk Drink 946mL,Kowloon Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000000122,Slimilk - Low Fat Hi-Ca Milk Drink 236mL,Kowloon Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000002531,Skimmed Hi-Ca Milk Drink 236mL,Kowloon Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000000123,Hi-Fibre Papaya Milk Drink 236mL,Kowloon Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000002528,Hi-Calcium Chocolate Slimilk Milk Drink 236mL,Kowloon Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000000121,Deluxe Chocolate Slimilk Milk Drink 236mL,Kowloon Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000001615,100% Fresh Milk (Plastic Bottle) 1.5L,Kowloon Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000000886,Fresh Milk 946mL,Trappist Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000000022,Fresh Milk 236mL,Trappist Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
